species,quantile,cpe_dft_total,cpe_wi_total,cpe_dft_age0,cpe_wi_age0,cpe_dft_age1,cpe_wi_age1,cpe_dft_adult,cpe_wi_adult,cpe_dft_pref,cpe_wi_pref
Brook Trout,10%,15.1,22.9,16,16.1,12.4,16.1,12.8,15.3,6.5,5.7
Brook Trout,25%,53,96.6,46,45.3,30.5,48.3,30,32.2,11.1,10.3
Brook Trout,35%,107.1,174.7,68.6,72.4,44.9,80.5,47.9,48.3,14.3,12.8
Brook Trout,50%,219.9,336.8,128.7,145.3,80.5,149.2,80.5,80.5,16.1,16.4
Brook Trout,65%,402.3,579.7,209.2,241.4,150.9,257.2,124,129.4,29.1,27.5
Brook Trout,75%,590.1,772.5,321.9,365.5,234.2,366.7,177.7,185.2,37.5,37.4
Brook Trout,90%,1223,1488.4,787.1,812.3,548.7,662.7,347,344,64.4,64.4
Brown Trout,10%,108.3,39.7,15.1,12.5,27.9,21,40.2,18.9,16.1,10.6
Brown Trout,25%,323.6,178.4,40.2,32.2,82.6,70.6,128.7,63.8,31.9,20.3
Brown Trout,35%,492.2,305.9,71.1,58.1,135.6,115,191.6,112.7,42.9,30.3
Brown Trout,50%,729.8,537.3,136.1,119.3,229.9,199.2,330.8,205.8,63.2,47.6
Brown Trout,65%,1121.4,880.6,256.1,247.5,383.2,337.2,509.7,341.9,85.8,72
Brown Trout,75%,1478.3,1241.7,405.4,402.1,518.8,482.8,677.6,479.2,115,91.4
Brown Trout,90%,2720,2203.1,856.7,933.5,877.1,836.6,1194.2,864.5,181.5,156.5
