species,quantile,total,age0,age1,adult,pref
Brook Trout,10%,31.9,16.1,17.2,15.9,5.6
Brook Trout,25%,120.5,50.1,63.2,36.3,10.6
Brook Trout,35%,225.2,85.3,102.6,58.5,13.9
Brook Trout,50%,466.7,177,193.1,101.2,19.8
Brook Trout,65%,799.6,341.3,368,166.6,32
Brook Trout,75%,1121.8,503.1,498.9,241.1,42.9
Brook Trout,90%,1945.2,1142.4,856.2,422.5,68.6
Brown Trout,10%,27.8,8.6,22.5,16.1,9.4
Brown Trout,25%,148.4,27.3,76.9,52.9,17.6
Brown Trout,35%,258.4,42.4,122.2,110.3,24.5
Brown Trout,50%,444.8,86.2,210.2,210.1,37
Brown Trout,65%,816.8,190.8,385.3,316.5,56.3
Brown Trout,75%,1111.7,322.3,553.5,397.3,73.9
Brown Trout,90%,2061.3,870.3,913.1,641.1,129.2
