species,quantile,total,age0,age1,adult,pref
Brook Trout,10%,38.2,16.1,22.6,16.1,5.3
Brook Trout,25%,150.2,42.3,71.5,32.2,7.7
Brook Trout,35%,223.6,66.9,99.5,42.8,10.1
Brook Trout,50%,370.1,134.7,160.9,66.4,13.5
Brook Trout,65%,542.7,212.2,248.8,93.3,18.1
Brook Trout,75%,686,291,313.2,120.7,26.4
Brook Trout,90%,1076.9,594.5,475,223.5,47.4
Brown Trout,10%,16.1,11.8,12.7,10.3,5.5
Brown Trout,25%,47.3,32.2,32.2,16.4,7.1
Brown Trout,35%,81.9,59.2,51.7,24.9,10.6
Brown Trout,50%,214.7,117.8,105.6,43.2,15.8
Brown Trout,65%,420,289.1,188.8,70.6,29.7
Brown Trout,75%,658.5,532.6,276.4,98,45.5
Brown Trout,90%,1626.2,1299.2,666.7,223,76.2
