Species,Quantile,All fish,YOY,Yearling,Adult,Preferred,Memorable
Brook Trout,10%,32.2,16.1,20.2,15.8,5.6,1.3
Brook Trout,25%,120.5,50.1,64,32.9,10.6,2
Brook Trout,35%,225.2,85.3,104.1,55.5,13.9,3.6
Brook Trout,50%,466.7,177,203.4,96.6,19.8,3.9
Brook Trout,65%,801.2,341.3,371.7,161.9,32,4.6
Brook Trout,75%,1126,503.1,507.8,231,42.9,5.3
Brook Trout,90%,1952,1142.4,871.8,403.6,68.6,5.6
Brown Trout,10%,27.8,8.6,21.9,16.1,9.4,3.9
Brown Trout,25%,148.4,27.3,79,53.3,17.6,6.5
Brown Trout,35%,258.7,42.4,125.9,109,24.5,9.2
Brown Trout,50%,444.8,86.2,214.6,208,37,12.1
Brown Trout,65%,819.5,190.8,391.6,307.6,56.3,16.7
Brown Trout,75%,1111.7,322.3,559.7,390.7,73.9,24.1
Brown Trout,90%,2061.3,870.3,937.3,620.3,129.2,48.1
