species,quantile,cpe_dft_total,cpe_wi_total,cpe_dft_age0,cpe_wi_age0,cpe_dft_age1,cpe_wi_age1,cpe_dft_adult,cpe_wi_adult,cpe_dft_pref,cpe_wi_pref
Brook Trout,10%,15.3,22.9,16.1,16.1,13.7,16.1,13.2,15.3,7.1,5.7
Brook Trout,25%,54.1,96.6,45.3,45.3,31.3,48.3,30.2,32.2,11.5,10.3
Brook Trout,35%,109.2,174.7,64.4,72.4,45.3,80.5,48.3,48.3,13.9,12.8
Brook Trout,50%,215.8,336.8,123.8,145.3,80.5,149.2,80.5,80.5,16.1,16.4
Brook Trout,65%,392.7,579.7,198.3,241.4,144.8,257.2,120.1,129.4,28.2,27.5
Brook Trout,75%,547.2,772.5,301.7,365.5,224.3,366.7,162.9,185.2,34.6,37.4
Brook Trout,90%,1048.1,1488.4,672.8,812.3,451,662.7,298.3,344,60.3,64.4
Brown Trout,10%,105.3,39.7,14.5,12.5,25.3,21,38.7,18.9,16.1,10.6
Brown Trout,25%,312.9,178.4,33.9,32.2,80.5,70.6,120.7,63.8,30.7,20.3
Brown Trout,35%,458.7,305.9,61.8,58.1,125.6,115,179.3,112.7,40.7,30.3
Brown Trout,50%,683.8,537.3,117.2,119.3,212.1,199.2,289.7,205.8,61.3,47.6
Brown Trout,65%,999.3,880.6,209.2,247.5,338,337.2,441.7,341.9,82.4,72
Brown Trout,75%,1297,1241.7,315.8,402.1,466.8,482.8,621,479.2,103.7,91.4
Brown Trout,90%,2113,2203.1,643.7,933.5,724.2,836.6,1021.7,864.5,169.4,156.5
