species,quantile,total,age0,age1,adult,pref
Brook Trout,10%,22.9,16.1,16.1,15.3,5.7
Brook Trout,25%,96.6,45.3,48.3,32.2,10.3
Brook Trout,35%,174.7,72.4,80.5,48.3,12.8
Brook Trout,50%,336.8,145.3,149.2,80.5,16.4
Brook Trout,65%,579.7,241.4,257.2,129.4,27.5
Brook Trout,75%,772.5,365.5,366.7,185.2,37.4
Brook Trout,90%,1488.4,812.3,662.7,344,64.4
Brown Trout,10%,39.7,12.5,21,18.9,10.6
Brown Trout,25%,178.4,32.2,70.6,63.8,20.3
Brown Trout,35%,305.9,58.1,115,112.7,30.3
Brown Trout,50%,537.3,119.3,199.2,205.8,47.6
Brown Trout,65%,880.6,247.5,337.2,341.9,72
Brown Trout,75%,1241.7,402.1,482.8,479.2,91.4
Brown Trout,90%,2203.1,933.5,836.6,864.5,156.5
