species,quantile,total,age0,age1,adult,pref
Brook Trout,10%,10.5,14.1,6.9,6.1,3.9
Brook Trout,25%,52.1,67.7,23.2,26.7,8.9
Brook Trout,35%,90.5,105.9,39.2,45.1,14.5
Brook Trout,50%,244.3,229.9,109.4,81.8,23.7
Brook Trout,65%,754.5,395.7,406.2,246.1,35.9
Brook Trout,75%,1531.3,675.9,675,392.5,51.9
Brook Trout,90%,4546.7,2021.3,1913.2,1252.6,88.7
Brown Trout,10%,324.6,69.4,89.7,65.9,16
Brown Trout,25%,1241.5,213.1,336.6,413,51.7
Brown Trout,35%,1879.8,403.6,503.5,577.9,67.7
Brown Trout,50%,2619.4,596.1,797.3,821,93.1
Brown Trout,65%,3577.9,992,1368,1310.7,148.2
Brown Trout,75%,4607.5,1222.4,1869.1,1680.9,182.7
Brown Trout,90%,7084.3,2419,2627,2338.8,286.4
